"N","Camisa","Nome","InStat Index","Partidas jogadas","Minutos jogados","Escalações no time titular","Substituído","Substituindo","Gols","Assistências","Impedimentos","Cartões amarelos","Cartões vermelhos","Chutes","Chutes/gol","Pênalti","Pênaltis convertidos","Cobranças de pênalti convertidas, %","Passes","% de precisão dos passes","Passes chave","Cruzamentos","% de precisão nos cruzamentos","Bolas perdidas","Bolas perdidas / no próprio campo","Bolas recuperadas","Bolas recuperadas no campo do adversário","xG (Gols esperados)","Disputas","% disputas ganhas","Disputas no ataque","Disputas aéreas","% disputas aéreas ganhas","Dribles","Desarmes","Interceptações","Rebotes"
"1",23,"C. Quintero","289",22,"1790","20","10","2","7","7","9","5","0","58","25","1","0","0","1002","75%","49","33","30%","243","37","36","18","5.9","342","45%","253","36","28%","123","57","40","102"
"2",10,"S. Blanco","286",13,"1093","12","6","1","4","6","0","2","0","35","11","1","1","100%","670","73%","27","53","17%","140","13","20","9","2.1","161","50%","109","18","33%","61","36","26","75"
"3",17,"Nani","285",25,"2203","22","5","3","9","6","5","5","1","70","30","6","3","50%","1168","77%","45","62","31%","282","47","43","13","7","368","43%","275","65","29%","149","45","57","93"
"4",7,"Kevin Molino","285",22,"1655","18","11","4","13","3","4","0","0","47","26","1","1","100%","842","80%","24","30","20%","202","43","36","18","7","375","47%","289","46","26%","108","47","40","87"
"5",9,"D. Rossi","284",21,"2011","21","3","0","16","6","14","0","0","83","43","3","3","100%","623","82%","26","23","13%","159","15","23","11","14","276","32%","215","24","46%","83","39","30","83"
"6",10,"Cristian Pavon","283",22,"2108","22","0","0","10","3","5","1","0","65","27","3","3","100%","937","71%","49","97","14%","283","27","40","17","7","434","39%","323","57","18%","170","57","56","100"
"7",10,"Emanuel Reynoso","283",16,"1139","12","7","4","2","12","0","2","0","27","10","0","0","0","671","80%","21","15","33%","168","29","34","14","1.59","347","37%","246","66","18%","96","57","22","69"
"8",10,"Carlos Vela","282",8,"566","5","1","3","4","2","1","0","0","27","14","1","0","0","254","71%","15","24","21%","65","2","4","3","3.3","88","34%","70","9","33%","41","9","12","17"
"9",9,"Alan Izagirre Pulido","281",13,"1129","12","7","1","6","4","6","2","0","37","19","2","2","100%","328","86%","11","3","0","110","24","13","6","5.5","218","35%","189","50","24%","56","10","17","35"
"10",16,"Graham Smith","281",5,"445","5","1","0","0","0","0","2","0","5","1","0","0","0","205","85%","0","0","0","16","8","21","3","0.91","34","76%","5","18","78%","1","5","27","22"
"11",10,"N. Lodeiro","280",25,"2404","25","2","0","8","8","6","3","0","47","21","4","4","100%","1967","79%","55","93","24%","333","63","61","32","7","412","37%","262","53","36%","82","90","62","162"
"12",10,"Pozuelo","277",25,"2358","25","8","0","9","9","1","3","0","61","31","5","5","100%","1655","82%","56","65","17%","272","38","35","17","9","380","37%","282","59","29%","104","54","40","114"
"13",7,"Magnus Eriksson","277",7,"671","7","1","0","4","1","0","1","0","17","6","4","4","100%","446","83%","6","17","18%","58","10","23","5","3.4","85","46%","38","21","33%","12","18","20","35"
"14",13,"Jordan Morris","277",27,"2297","23","11","4","11","7","13","1","0","49","20","0","0","0","848","79%","52","39","20%","167","25","45","15","9","296","55%","226","80","66%","66","31","42","82"
"15",6,"Joao Paulo","276",23,"1915","21","10","2","2","3","0","7","0","19","6","0","0","0","1549","87%","15","26","31%","136","29","142","39","1.07","330","55%","109","47","66%","46","130","128","171"
"16",5,"Matt Besler","276",10,"886","9","1","1","0","0","0","1","0","1","0","0","0","0","648","89%","5","0","0","35","9","88","14","0.03","94","70%","9","40","70%","3","20","62","72"
